page,source_layer,parse_note,player,handedness,team,pitcher,game,weak_slots,lineup_slot,pull_pct,sweet_spot_pct,barrel_pct,hard_hit_pct,dmg,hr_pa,hpi,pitch_edge,hr_alert,tags,effort,_metric_count,ingestion_confidence,needs_recovery
65,startool_sequential_parser,rank_player_card_block,Shohei Ohtani,L,Los Angeles Dodgers,Robert Gasser,Los Angeles Dodgers vs Robert Gasser,,2.0,22.0,10.0,13.428999999999998,41.65,2.066,2.8,49.0,42.0,True,"Laser, ALERT",40.0,8,1.0,False
65,startool_sequential_parser,rank_player_card_block,Freddie Freeman,L,Los Angeles Dodgers,Robert Gasser,Los Angeles Dodgers vs Robert Gasser,,1.0,21.0,21.6,8.956999999999999,30.0,1.378,4.8,36.0,-17.0,True,ALERT,32.0,8,1.0,False
65,startool_sequential_parser,rank_player_card_block,Will Smith,R,Los Angeles Dodgers,Robert Gasser,Los Angeles Dodgers vs Robert Gasser,,7.0,15.0,39.5,6.2595,6.7,0.963,1.6,34.0,-21.0,False,"Platoon, Weak Slot, HOT",21.0,8,1.0,False
65,startool_sequential_parser,rank_player_card_block,Kyle Tucker,L,Los Angeles Dodgers,Robert Gasser,Los Angeles Dodgers vs Robert Gasser,,3.0,17.0,50.0,9.971,0.0,1.534,0.0,35.0,-2.0,False,Eats LHP,,8,1.0,False
66,startool_sequential_parser,rank_player_card_block,Andy Pages,R,Los Angeles Dodgers,Robert Gasser,Los Angeles Dodgers vs Robert Gasser,,4.0,20.0,21.7,11.2775,38.5,1.735,8.1,39.0,5.0,False,"Platoon, Weak Slot, HOT",23.0,8,1.0,False
66,startool_sequential_parser,rank_player_card_block,Max Muncy,L,Los Angeles Dodgers,Robert Gasser,Los Angeles Dodgers vs Robert Gasser,,5.0,23.0,18.8,5.0440000000000005,27.2,0.776,5.2,32.0,39.0,True,"Weak Slot, ALERT",33.0,8,1.0,False
66,startool_sequential_parser,rank_player_card_block,Dalton Rushing,L,Los Angeles Dodgers,Robert Gasser,Los Angeles Dodgers vs Robert Gasser,,8.0,28.0,25.0,3.0,0.0,0.276,0.0,38.0,-26.0,False,WARM,,8,1.0,False
67,startool_sequential_parser,rank_player_card_block,Santiago Espinal,R,Los Angeles Dodgers,Robert Gasser,Los Angeles Dodgers vs Robert Gasser,,6.0,2.0,12.5,6.825,25.0,1.05,3.1,25.0,-40.0,False,"Platoon, HOT",,8,1.0,False
67,startool_sequential_parser,rank_player_card_block,Jackson Chourio,R,Milwaukee Brewers,Roki Sasaki,Milwaukee Brewers vs Roki Sasaki,,6.0,30.0,22.2,12.7985,6.7,1.969,1.4,44.0,-9.0,True,"Laser, ALERT",40.0,8,1.0,False
67,startool_sequential_parser,rank_player_card_block,Brice Turang,L,Milwaukee Brewers,Roki Sasaki,Milwaukee Brewers vs Roki Sasaki,,2.0,24.0,23.3,11.323,25.0,1.742,4.3,36.0,6.0,False,"Platoon, Rakes RHP, Weak Slot, HOT",29.0,8,1.0,False
68,startool_sequential_parser,rank_player_card_block,William Contreras,R,Milwaukee Brewers,Roki Sasaki,Milwaukee Brewers vs Roki Sasaki,,5.0,15.0,28.9,9.691500000000001,36.55,1.491,1.5,43.0,-5.0,True,ALERT,33.0,8,1.0,False
68,startool_sequential_parser,rank_player_card_block,Jake Bauers,L,Milwaukee Brewers,Roki Sasaki,Milwaukee Brewers vs Roki Sasaki,,1.0,23.0,21.7,12.766,18.2,1.964,3.1,57.0,24.0,True,"Platoon, ALERT",42.0,8,1.0,False
68,startool_sequential_parser,rank_player_card_block,Andrew Vaughn,R,Milwaukee Brewers,Roki Sasaki,Milwaukee Brewers vs Roki Sasaki,,3.0,36.0,31.6,9.424999999999999,20.0,1.45,2.3,36.0,113.0,False,WARM,51.0,8,1.0,False
69,startool_sequential_parser,rank_player_card_block,Sal Frelick,L,Milwaukee Brewers,Roki Sasaki,Milwaukee Brewers vs Roki Sasaki,,8.0,6.0,23.3,5.2844999999999995,0.0,0.813,0.0,26.0,-22.0,False,"Platoon, COLD",11.0,8,1.0,False
69,startool_sequential_parser,rank_player_card_block,Blake Perkins,,Milwaukee Brewers,Roki Sasaki,Milwaukee Brewers vs Roki Sasaki,,9.0,19.0,0.0,3.0,0.0,0.192,0.0,23.0,-20.0,False,"Weak Slot, WARM",,8,1.0,False
69,startool_sequential_parser,rank_player_card_block,Joey Ortiz,R,Milwaukee Brewers,Roki Sasaki,Milwaukee Brewers vs Roki Sasaki,,4.0,19.0,21.1,7.007000000000001,27.2,1.078,2.1,32.0,-2.0,False,"Rakes RHP, Weak Slot, HOT",24.0,8,1.0,False
70,startool_sequential_parser,rank_player_card_block,Nick Kurtz,L,Athletics,Lucas Giolito,Athletics vs Lucas Giolito,,3.0,32.0,28.8,12.974,75.0,1.996,4.4,58.0,13.0,True,"Platoon, Laser, ALERT",35.0,8,1.0,False
70,startool_sequential_parser,rank_player_card_block,Shea Langeliers,R,Athletics,Lucas Giolito,Athletics vs Lucas Giolito,,2.0,21.0,18.900000000000002,17.2185,33.3,2.649,5.6,49.0,27.0,True,"Rakes RHP, Weak Slot, ALERT",35.0,8,1.0,False
71,startool_sequential_parser,rank_player_card_block,Brent Rooker,R,Athletics,Lucas Giolito,Athletics vs Lucas Giolito,,4.0,40.0,13.9,17.732000000000003,22.2,2.728,6.1,40.0,4.0,True,"Rakes RHP, Weak Slot, ALERT",24.0,8,1.0,False
71,startool_sequential_parser,rank_player_card_block,Carlos Cortes,L,Athletics,Lucas Giolito,Athletics vs Lucas Giolito,,7.0,16.0,24.4,9.509500000000001,0.0,1.463,0.0,36.0,23.0,False,"Platoon, Weak Slot, WARM",31.0,8,1.0,False
71,startool_sequential_parser,rank_player_card_block,Zack Gelof,R,Athletics,Lucas Giolito,Athletics vs Lucas Giolito,,1.0,32.0,28.8,9.249500000000001,30.8,1.423,6.3,38.0,-12.0,True,"Platoon, ALERT",48.0,8,1.0,False
72,startool_sequential_parser,rank_player_card_block,Darell Hernaiz,R,Athletics,Lucas Giolito,Athletics vs Lucas Giolito,,9.0,16.0,11.5,7.7155000000000005,0.0,1.187,0.0,23.0,-10.0,False,COLD,35.0,8,1.0,False
72,startool_sequential_parser,rank_player_card_block,Jeff McNeil,L,Athletics,Lucas Giolito,Athletics vs Lucas Giolito,,5.0,14.0,20.0,5.616,25.0,0.864,1.8,23.0,1.0,False,"Platoon, Rakes RHP, HOT",9.0,8,1.0,False
72,startool_sequential_parser,rank_player_card_block,Jackson Merrill,L,San Diego Padres,J.T. Ginn,San Diego Padres vs J.T. Ginn,,2.0,23.0,30.0,6.935499999999999,29.75,1.067,1.7,35.0,22.0,False,"Platoon, Rakes RHP, HOT",,8,1.0,False
73,startool_sequential_parser,rank_player_card_block,Fernando Tatis Jr.,R,San Diego Padres,J.T. Ginn,San Diego Padres vs J.T. Ginn,,8.0,28.0,10.5,4.3745,0.0,0.673,0.0,49.0,-4.0,False,"Rakes RHP, Weak Slot, WARM",35.0,8,1.0,False
73,startool_sequential_parser,rank_player_card_block,Manny Machado,R,San Diego Padres,J.T. Ginn,San Diego Padres vs J.T. Ginn,,4.0,16.0,26.5,5.0895,33.3,0.783,4.9,38.0,-32.0,True,"Weak Slot, ALERT",26.0,8,1.0,False
73,startool_sequential_parser,rank_player_card_block,Gavin Sheets,L,San Diego Padres,J.T. Ginn,San Diego Padres vs J.T. Ginn,,1.0,12.0,30.0,14.6965,38.5,2.261,8.8,43.0,-15.0,True,"Platoon, Rakes RHP, ALERT",23.0,8,1.0,False
74,startool_sequential_parser,rank_player_card_block,Ramón Laureano,R,San Diego Padres,J.T. Ginn,San Diego Padres vs J.T. Ginn,,6.0,27.0,29.4,4.433000000000001,28.05,0.682,2.2,33.0,-4.0,True,ALERT,19.0,8,1.0,False
74,startool_sequential_parser,rank_player_card_block,Nick Castellanos,R,San Diego Padres,J.T. Ginn,San Diego Padres vs J.T. Ginn,,3.0,28.0,28.0,10.620999999999999,26.7,1.634,8.0,27.0,-9.0,True,"Rakes RHP, Weak Slot, ALERT",13.0,8,1.0,False
74,startool_sequential_parser,rank_player_card_block,Freddy Fermin,R,San Diego Padres,J.T. Ginn,San Diego Padres vs J.T. Ginn,,9.0,26.0,18.8,3.0,0.0,0.37,0.0,22.0,-39.0,False,COLD,33.0,8,1.0,False
75,startool_sequential_parser,rank_player_card_block,Brandon Nimmo,L,Texas Rangers,Walbert Ureña,Texas Rangers vs Walbert Ureña,,4.0,14.0,28.6,7.7219999999999995,18.2,1.188,3.1,39.0,-47.0,True,"Platoon, Weak Slot, ALERT",32.0,8,1.0,False
76,startool_sequential_parser,rank_player_card_block,Josh Jung,R,Texas Rangers,Walbert Ureña,Texas Rangers vs Walbert Ureña,,8.0,12.0,22.0,12.0575,29.75,1.855,1.5,35.0,1.0,False,HOT,29.0,8,1.0,False
76,startool_sequential_parser,rank_player_card_block,Joc Pederson,L,Texas Rangers,Walbert Ureña,Texas Rangers vs Walbert Ureña,,3.0,26.0,33.3,9.6135,28.9,1.479,2.1,34.0,-17.0,False,"Platoon, HOT",33.0,8,1.0,False
76,startool_sequential_parser,rank_player_card_block,Evan Carter,L,Texas Rangers,Walbert Ureña,Texas Rangers vs Walbert Ureña,,6.0,23.0,13.3,6.474,25.5,0.996,3.9,30.0,-27.0,False,"Platoon, Weak Slot, Laser, WARM",16.0,8,1.0,False
77,startool_sequential_parser,rank_player_card_block,Alejandro Osuna,L,Texas Rangers,Walbert Ureña,Texas Rangers vs Walbert Ureña,,9.0,12.0,30.0,8.404499999999999,0.0,1.293,0.0,35.0,59.0,False,"Platoon, Weak Slot, COLD",21.0,8,1.0,False
77,startool_sequential_parser,rank_player_card_block,Danny Jansen,R,Texas Rangers,Walbert Ureña,Texas Rangers vs Walbert Ureña,,7.0,27.0,11.5,7.4295,25.0,1.143,3.8,24.0,46.0,False,HOT,30.0,8,1.0,False
77,startool_sequential_parser,rank_player_card_block,Justin Foscue,R,Texas Rangers,Walbert Ureña,Texas Rangers vs Walbert Ureña,,1.0,7.0,35.0,14.683499999999999,25.0,2.259,4.8,41.0,-5.0,True,ALERT,,8,1.0,False
78,startool_sequential_parser,rank_player_card_block,Zach Neto,R,Los Angeles Angels,Nathan Eovaldi,Los Angeles Angels vs Nathan Eovaldi,,1.0,24.0,15.4,10.6925,25.0,1.645,5.9,27.0,49.0,True,"Weak Slot, ALERT",16.0,8,1.0,False
78,startool_sequential_parser,rank_player_card_block,Nolan Schanuel,L,Los Angeles Angels,Nathan Eovaldi,Los Angeles Angels vs Nathan Eovaldi,,2.0,28.0,31.4,8.4565,25.0,1.301,1.6,27.0,-18.0,True,"Platoon, Rakes RHP, Weak Slot, ALERT",13.0,8,1.0,False
81,startool_sequential_parser,rank_player_card_block,Tyler Freeman,R,Colorado Rockies,Zac Gallen,Colorado Rockies vs Zac Gallen,,6.0,14.0,25.7,6.8965,25.0,1.061,3.4,32.0,10.0,False,"Weak Slot, WARM",21.0,8,1.0,False
81,startool_sequential_parser,rank_player_card_block,Hunter Goodman,R,Colorado Rockies,Zac Gallen,Colorado Rockies vs Zac Gallen,,4.0,30.0,31.0,8.346,20.0,1.284,3.3,43.0,-20.0,False,"Weak Slot, Laser, HOT",30.0,8,1.0,False
81,startool_sequential_parser,rank_player_card_block,TJ Rumfield,L,Colorado Rockies,Zac Gallen,Colorado Rockies vs Zac Gallen,,1.0,15.0,30.3,9.958,22.2,1.532,3.3,31.0,17.0,False,"Platoon, Rakes RHP, HOT",8.0,8,1.0,False
82,startool_sequential_parser,rank_player_card_block,Troy Johnston,L,Colorado Rockies,Zac Gallen,Colorado Rockies vs Zac Gallen,,3.0,26.0,39.3,8.6645,0.0,1.333,0.0,30.0,6.0,False,"Platoon, COLD",22.0,8,1.0,False
82,startool_sequential_parser,rank_player_card_block,Willi Castro,,Colorado Rockies,Zac Gallen,Colorado Rockies vs Zac Gallen,,5.0,28.0,31.8,11.739,25.5,1.806,1.8,30.0,8.0,False,WARM,17.0,8,1.0,False
82,startool_sequential_parser,rank_player_card_block,Kyle Karros,R,Colorado Rockies,Zac Gallen,Colorado Rockies vs Zac Gallen,,9.0,21.0,28.6,8.827,0.0,1.358,0.0,27.0,20.0,False,COLD,15.0,8,1.0,False
82,startool_sequential_parser,rank_player_card_block,Ezequiel Tovar,R,Colorado Rockies,Zac Gallen,Colorado Rockies vs Zac Gallen,,8.0,29.0,25.9,5.707,0.0,0.878,0.0,29.0,-31.0,False,WARM,,8,1.0,False
83,startool_sequential_parser,rank_player_card_block,Jake McCarthy,L,Colorado Rockies,Zac Gallen,Colorado Rockies vs Zac Gallen,,2.0,20.0,31.0,10.250499999999999,25.5,1.577,3.9,30.0,-16.0,False,"Platoon, Rakes RHP, WARM",14.0,8,1.0,False
83,startool_sequential_parser,rank_player_card_block,Ketel Marte,,Arizona Diamondbacks,Michael Lorenzen,Arizona Diamondbacks vs Michael Lorenzen,,3.0,17.0,25.0,14.677,40.8,2.258,3.0,48.0,-6.0,True,"Rakes RHP, Weak Slot, ALERT",34.0,8,1.0,False
83,startool_sequential_parser,rank_player_card_block,Corbin Carroll,L,Arizona Diamondbacks,Michael Lorenzen,Arizona Diamondbacks vs Michael Lorenzen,,1.0,24.0,30.0,12.8765,42.5,1.981,4.6,50.0,-4.0,True,"Platoon, Laser, ALERT",34.0,8,1.0,False
84,startool_sequential_parser,rank_player_card_block,Rakes RHP,,Arizona Diamondbacks,Michael Lorenzen,Arizona Diamondbacks vs Michael Lorenzen,,9.0,13.0,36.4,4.7905,0.0,0.737,0.0,27.0,-10.0,False,"Rakes RHP, WARM",16.0,8,1.0,False
84,startool_sequential_parser,rank_player_card_block,Adrian Del Castillo,L,Arizona Diamondbacks,Michael Lorenzen,Arizona Diamondbacks vs Michael Lorenzen,,2.0,28.0,16.0,5.0635,25.5,0.779,2.0,30.0,-24.0,False,"Platoon, COLD",34.0,8,1.0,False
84,startool_sequential_parser,rank_player_card_block,Ildemaro Vargas,,Arizona Diamondbacks,Michael Lorenzen,Arizona Diamondbacks vs Michael Lorenzen,,7.0,13.0,20.0,6.0255,29.75,0.927,1.5,35.0,29.0,False,"Weak Slot, HOT",19.0,8,1.0,False
84,startool_sequential_parser,rank_player_card_block,Lourdes Gurriel Jr.,R,Arizona Diamondbacks,Michael Lorenzen,Arizona Diamondbacks vs Michael Lorenzen,,6.0,25.0,25.7,9.126,25.0,1.404,1.7,28.0,17.0,False,"Rakes RHP, HOT",31.0,8,1.0,False
85,startool_sequential_parser,rank_player_card_block,Gabriel Moreno,R,Arizona Diamondbacks,Michael Lorenzen,Arizona Diamondbacks vs Michael Lorenzen,,4.0,19.0,22.6,6.6625,30.599999999999998,1.025,3.4,36.0,-22.0,False,"Weak Slot, HOT",38.0,8,1.0,False
85,startool_sequential_parser,rank_player_card_block,Jose Fernandez,R,Arizona Diamondbacks,Michael Lorenzen,Arizona Diamondbacks vs Michael Lorenzen,,8.0,28.0,31.3,4.2445,0.0,0.653,0.0,43.0,-16.0,False,COLD,21.0,8,1.0,False
8,startool_sequential_parser,rank_player_card_block,Yohel Pozo,R,St. Louis Cardinals,Chase Petty,St. Louis Cardinals vs Chase Petty,,,1.0,31.6,10.075000000000001,0.0,1.55,0.0,29.0,,False,"Rakes RHP, COLD",,7,0.875,False
16,startool_sequential_parser,rank_player_card_block,Anthony Volpe,R,New York Yankees,Drew Rasmussen,New York Yankees vs Drew Rasmussen,,9.0,23.0,25.0,3.198,0.0,0.492,0.0,25.0,,False,"Platoon, Rakes RHP, COLD",40.0,7,0.875,False
46,startool_sequential_parser,rank_player_card_block,Jhonny Pereda,R,Seattle Mariners,Stephen Kolek,Seattle Mariners vs Stephen Kolek,,3.0,16.0,41.7,6.8835,20.0,1.059,,35.0,-37.0,False,HOT,,7,0.875,False
50,startool_sequential_parser,rank_player_card_block,Kody Clemens,L,Kansas City Royals,George Kirby,Kansas City Royals vs George Kirby,,6.0,24.0,9.1,14.9435,27.2,2.299,1.7,32.0,,True,"Eats LHP, Weak Slot, ALERT",31.0,7,0.875,False
78,startool_sequential_parser,rank_player_card_block,Mike Trout,R,Los Angeles Angels,Nathan Eovaldi,Los Angeles Angels vs Nathan Eovaldi,,5.0,11.0,26.9,3.6984999999999997,44.199999999999996,0.569,1.5,52.0,,True,"Laser, ALERT",31.0,7,0.875,False
79,startool_sequential_parser,rank_player_card_block,Jo Adell,R,Los Angeles Angels,Nathan Eovaldi,Los Angeles Angels vs Nathan Eovaldi,,3.0,29.0,38.5,5.356,42.5,0.824,5.1,50.0,,True,"Laser, ALERT",31.0,7,0.875,False
79,startool_sequential_parser,rank_player_card_block,Oswald Peraza,R,Los Angeles Angels,Nathan Eovaldi,Los Angeles Angels vs Nathan Eovaldi,,4.0,23.0,33.3,8.385,20.0,1.29,3.9,33.0,,True,ALERT,10.0,7,0.875,False
79,startool_sequential_parser,rank_player_card_block,Vaughn Grissom,R,Los Angeles Angels,Nathan Eovaldi,Los Angeles Angels vs Nathan Eovaldi,,7.0,13.0,25.0,4.29,33.15,0.66,1.7,39.0,,False,WARM,49.0,7,0.875,False
80,startool_sequential_parser,rank_player_card_block,Sebastián Rivero,R,Los Angeles Angels,Nathan Eovaldi,Los Angeles Angels vs Nathan Eovaldi,,9.0,14.0,14.3,3.0,0.0,0.296,0.0,21.0,,False,COLD,,7,0.875,False
80,startool_sequential_parser,rank_player_card_block,Adam Frazier,L,Los Angeles Angels,Nathan Eovaldi,Los Angeles Angels vs Nathan Eovaldi,,8.0,36.0,22.7,5.0245,0.0,0.773,0.0,18.0,,False,"Platoon, COLD",15.0,7,0.875,False
85,startool_sequential_parser,rank_player_card_block,Ryan Waldschmidt,R,Arizona Diamondbacks,Michael Lorenzen,Arizona Diamondbacks vs Michael Lorenzen,,5.0,21.0,38.9,4.758,0.0,0.732,0.0,33.0,,False,WARM,,7,0.875,False
6,startool_sequential_parser,rank_player_card_block,P.J. Higgins,R,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,1.0,48.0,50.0,3.5945000000000005,0.0,0.553,,21.0,,False,COLD,,6,0.75,False
9,startool_sequential_parser,rank_player_card_block,Elly De La Cruz,,Cincinnati Reds,Kyle Leahy,Cincinnati Reds vs Kyle Leahy,,8.0,28.0,23.3,3.0,6.7,,1.5,,16.0,False,"Rakes RHP, Weak Slot, Laser",,6,0.75,False
11,startool_sequential_parser,rank_player_card_block,P.J. Higgins,R,Cincinnati Reds,Kyle Leahy,Cincinnati Reds vs Kyle Leahy,,,44.0,50.0,3.5945000000000005,0.0,0.553,,22.0,,False,COLD,,6,0.75,False
26,startool_sequential_parser,rank_player_card_block,Myles Straw,R,Pittsburgh Pirates,Patrick Corbin,Pittsburgh Pirates vs Patrick Corbin,,8.0,9.0,0.0,3.0,0.0,,0.0,,7.0,False,,,6,0.75,False
28,startool_sequential_parser,rank_player_card_block,Riley Greene,L,Detroit Tigers,Brandon Young,Detroit Tigers vs Brandon Young,,2.0,27.0,40.7,3.0,0.0,,0.0,,4.0,False,"Platoon, Weak Slot, Laser",,6,0.75,False
31,startool_sequential_parser,rank_player_card_block,Leody Taveras,,Baltimore Orioles,Framber Valdez,Baltimore Orioles vs Framber Valdez,,9.0,12.0,10.0,3.0,0.0,,0.0,,7.0,False,Weak Slot,,6,0.75,False
41,startool_sequential_parser,rank_player_card_block,Rafael Devers,L,San Francisco Giants,Bryan Hudson,San Francisco Giants vs Bryan Hudson,,1.0,38.0,13.2,13.0,28.6,,6.5,,-9.0,False,"Weak Slot, Laser",,6,0.75,False
58,startool_sequential_parser,rank_player_card_block,Mike Yastrzemski,L,Atlanta Braves,Jake Irvin,Atlanta Braves vs Jake Irvin,,1.0,24.0,22.7,15.4,30.0,,7.7,,-14.0,False,Platoon,,6,0.75,False
60,startool_sequential_parser,rank_player_card_block,Marcus Semien,R,Atlanta Braves,Jake Irvin,Atlanta Braves vs Jake Irvin,,3.0,20.0,29.0,3.2,,,1.6,,-47.0,False,Rakes RHP,,5,0.625,False
7,startool_sequential_parser,rank_player_card_block,Jordan Walker,R,St. Louis Cardinals,Chase Petty,St. Louis Cardinals vs Chase Petty,,2.0,34.0,14.3,,25.0,,,,54.0,False,"Weak Slot, Laser",,4,0.5,False
43,startool_sequential_parser,rank_player_card_block,J.P. Crawford,L,Seattle Mariners,Stephen Kolek,Seattle Mariners vs Stephen Kolek,,4.0,12.0,24.0,,42.9,,,,4.0,False,"Platoon, Rakes RHP, Weak Slot",,4,0.5,False
68,startool_sequential_parser,rank_player_card_block,Luis Rengifo,,Milwaukee Brewers,Roki Sasaki,Milwaukee Brewers vs Roki Sasaki,,7.0,21.0,22.6,,0.0,,,,6.0,False,,,4,0.5,False
70,startool_sequential_parser,rank_player_card_block,Tyler Soderstrom,L,Athletics,Lucas Giolito,Athletics vs Lucas Giolito,,6.0,23.0,11.9,,6.3,,,,8.0,False,Platoon,,4,0.5,False
75,startool_sequential_parser,rank_player_card_block,Ezequiel Duran,R,Texas Rangers,Walbert Ureña,Texas Rangers vs Walbert Ureña,,5.0,14.0,12.6,,25.0,,,,42.0,False,,,4,0.5,False
2,startool_sequential_parser,rank_player_card_block,Nolan Gorman,L,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,4.0,34.0,40.0,,,,,,19.0,False,Platoon,,3,0.375,True
15,startool_sequential_parser,rank_player_card_block,Jazz Chisholm Jr.,L,New York Yankees,Drew Rasmussen,New York Yankees vs Drew Rasmussen,,5.0,30.0,21.1,,,,,,-5.0,False,"Platoon, Weak Slot",,3,0.375,True
61,startool_sequential_parser,rank_player_card_block,Luis Torrens,R,Atlanta Braves,Jake Irvin,Atlanta Braves vs Jake Irvin,,9.0,33.0,29.7,,,,,,,False,,,2,0.25,True
66,startool_sequential_parser,rank_player_card_block,Hyeseong Kim,L,Los Angeles Dodgers,Robert Gasser,Los Angeles Dodgers vs Robert Gasser,,9.0,21.0,18.900000000000002,,,,,,,False,,,2,0.25,True
6,startool_sequential_parser,rank_player_card_block,STL,,St. Louis Cardinals,Chase Petty,St. Louis Cardinals vs Chase Petty,,,,,,,,,,,False,,,0,0.0,True
12,startool_sequential_parser,rank_player_card_block,LHB,,Cincinnati Reds,Kyle Leahy,Cincinnati Reds vs Kyle Leahy,,,,,,,,,,,False,,,0,0.0,True
17,startool_sequential_parser,rank_player_card_block,HOU,,Houston Astros,Colin Rea,Houston Astros vs Colin Rea,,,,,,,,,,,False,,,0,0.0,True
22,startool_sequential_parser,rank_player_card_block,PIT,,Pittsburgh Pirates,Patrick Corbin,Pittsburgh Pirates vs Patrick Corbin,,,,,,,,,,,False,,,0,0.0,True
27,startool_sequential_parser,rank_player_card_block,DET,,Detroit Tigers,Brandon Young,Detroit Tigers vs Brandon Young,,,,,,,,,,,False,,,0,0.0,True
33,startool_sequential_parser,rank_player_card_block,CLE,,Baltimore Orioles,Framber Valdez,Baltimore Orioles vs Framber Valdez,,,,,,,,,,,False,,,0,0.0,True
38,startool_sequential_parser,rank_player_card_block,CHW,,Chicago White Sox,Adrian Houser,Chicago White Sox vs Adrian Houser,,,,,,,,,,,False,,,0,0.0,True
43,startool_sequential_parser,rank_player_card_block,SEA,,Seattle Mariners,Stephen Kolek,Seattle Mariners vs Stephen Kolek,,,,,,,,,,,False,,,0,0.0,True
54,startool_sequential_parser,rank_player_card_block,WSH,,Washington Nationals,Grant Holmes,Washington Nationals vs Grant Holmes,,,,,,,,,,,False,,,0,0.0,True
59,startool_sequential_parser,rank_player_card_block,NYM,,Atlanta Braves,Jake Irvin,Atlanta Braves vs Jake Irvin,,,,,,,,,,,False,,,0,0.0,True
64,startool_sequential_parser,rank_player_card_block,LAD,,Los Angeles Dodgers,Robert Gasser,Los Angeles Dodgers vs Robert Gasser,,,,,,,,,,,False,,,0,0.0,True
70,startool_sequential_parser,rank_player_card_block,ATH,,Athletics,Lucas Giolito,Athletics vs Lucas Giolito,,,,,,,,,,,False,,,0,0.0,True
75,startool_sequential_parser,rank_player_card_block,TEX,,Texas Rangers,Walbert Ureña,Texas Rangers vs Walbert Ureña,,,,,,,,,,,False,,,0,0.0,True
80,startool_sequential_parser,rank_player_card_block,COL,,Colorado Rockies,Zac Gallen,Colorado Rockies vs Zac Gallen,,,,,,,,,,,False,,,0,0.0,True
